;Count;N_variants;variants
sports;853;1;{'sport': 853}
are;719;8;{'is': 696, 'have': 13, 'more': 3, 'became': 2, 'exist': 2, 'situated': 1, 'live': 1, 'get': 1}
than;548;4;{'then': 371, 'that': 174, 'except': 2, 'well': 1}
these;545;3;{'this': 535, 'those': 6, 'that': 4}
number;468;15;{'amount': 372, 'quantity': 64, 'level': 7, 'part': 5, 'member': 4, 'value': 4, 'count': 3, 'rate': 2, 'quality': 1, 'mount': 1, 'population': 1, 'proportion': 1, 'portion': 1, 'category': 1, 'mark': 1}
to;369;6;{'for': 332, 'till': 29, 'do': 5, 'ourselves': 1, 'nearby': 1, 'caused': 1}
were;365;6;{'was': 354, 'had': 6, 'became': 2, 'observe': 1, 'lead': 1, 'occupied': 1}
them;362;3;{'it': 335, 'him': 20, 'then': 7}
that;292;12;{'it': 74, 'this': 49, 'than': 43, 'what': 43, 'which': 33, 'the': 24, 'who': 11, 'when': 5, 'about': 5, 'such': 2, 'their': 2, 'so': 1}
other;233;10;{'another': 121, 'others': 79, 'over': 22, 'different': 3, 'rather': 2, 'alternative': 2, 'unlike': 1, 'often': 1, 'previous': 1, 'offer': 1}
for;195;6;{'in': 130, 'by': 51, 'about': 10, 'or': 2, 'within': 1, 'both': 1}
which;195;5;{'what': 108, 'that': 67, 'who': 10, 'it': 9, 'because': 1}
people;170;18;{'persons': 57, 'person': 51, 'ones': 14, 'humans': 11, 'human': 10, 'you': 4, 'men': 4, 'population': 4, 'them': 3, 'individuals': 3, 'users': 2, 'adults': 1, 'workers': 1, 'citizens': 1, 'generation': 1, 'public': 1, 'personalities': 1, 'humanity': 1}
their;153;6;{'the': 73, 'there': 54, 'your': 15, 'them': 6, 'our': 4, 'usual': 1}
fewer;142;2;{'less': 141, 'lower': 1}
in;136;6;{'for': 89, 'is': 22, 'it': 16, 'and': 6, 'onto': 2, 'he': 1}
percentage;133;16;{'percent': 78, 'number': 18, 'amount': 15, 'quantity': 7, 'part': 3, 'point': 2, 'proportion': 1, 'degree': 1, 'date': 1, 'level': 1, 'data': 1, 'line': 1, 'growth': 1, 'portion': 1, 'rate': 1, 'volume': 1}
economic;109;1;{'economical': 109}
then;105;6;{'than': 90, 'after': 8, 'when': 3, 'that': 2, 'next': 1, 'now': 1}
by;105;1;{'for': 105}
have;93;22;{'make': 28, 'cause': 12, 'be': 8, 'are': 7, 'bring': 6, 'share': 4, 'is': 4, 'provide': 4, 'take': 3, 'means': 2, 'feel': 2, 'face': 2, 'get': 2, 'will': 1, 'causes': 1, 'move': 1, 'used': 1, 'leave': 1, 'house': 1, 'collect': 1, 'image': 1, 'project': 1}
do;85;12;{'make': 47, 'are': 19, 'have': 5, 'should': 3, 'practice': 2, 'perform': 2, 'has': 2, 'deal': 1, 'exercise': 1, 'give': 1, 'gave': 1, 'were': 1}
the;84;10;{'that': 20, 'to': 16, 'this': 16, 'all': 9, 'those': 5, 'their': 5, 'about': 5, 'than': 4, 'own': 2, 'what': 2}
and;81;9;{'or': 23, 'to': 23, 'a': 17, 'that': 8, 'on': 3, 'because': 2, 'however': 2, '-': 2, 'while': 1}
there;81;2;{'it': 70, 'here': 11}
proportion;80;11;{'part': 42, 'number': 14, 'amount': 11, 'percentage': 4, 'rate': 2, 'level': 2, 'proposition': 1, 'place': 1, 'population': 1, 'quantity': 1, 'percentages': 1}
many;78;4;{'much': 69, 'more': 7, 'most': 1, 'such': 1}
into;78;1;{'in': 78}
or;78;3;{'of': 52, 'and': 25, 'if': 1}
it;73;3;{'this': 45, 'there': 20, 'if': 8}
with;73;5;{'by': 52, 'from': 13, 'and': 4, 'is': 2, 'making': 2}
as;73;7;{'like': 40, 'than': 19, 'while': 5, 'the': 3, 'us': 3, 'for': 2, 'such': 1}
lose;70;2;{'loose': 69, 'last': 1}
At;69;1;{'In': 69}
make;66;11;{'do': 47, 'have': 8, 'take': 2, 'maintain': 2, 'contain': 1, 'takes': 1, 'state': 1, 'more': 1, 'quake': 1, 'right': 1, 'meet': 1}
higher;66;4;{'bigger': 39, 'more': 19, 'high': 7, 'upper': 1}
obesity;65;1;{'overweight': 65}
peak;64;5;{'pick': 59, 'high': 2, 'hit': 1, 'boom': 1, 'valley': 1}
respectively;63;6;{'accordingly': 37, 'relatively': 15, 'correspondingly': 7, 'consequently': 2, 'particularly': 1, 'adequately': 1}
This;60;5;{'It': 42, 'These': 12, 'Which': 3, 'There': 2, 'that': 1}
advertising;59;1;{'advertisement': 59}
older;59;9;{'elder': 33, 'old': 9, 'elderly': 7, 'more': 4, 'above': 2, 'alter': 1, 'bigger': 1, 'over': 1, 'aged': 1}
has;58;16;{'is': 27, 'was': 13, 'gives': 3, 'cause': 2, 'takes': 2, 'causes': 1, 'whereas': 1, 'continued': 1, 'call': 1, 'connects': 1, 'show': 1, 'here': 1, 'want': 1, 'reveal': 1, 'would': 1, 'ensues': 1}
among;57;4;{'between': 51, 'from': 3, 'at': 2, 'amount': 1}
between;54;2;{'in': 32, 'among': 22}
who;54;1;{'which': 54}
hand;52;1;{'side': 52}
men;50;3;{'males': 25, 'male': 24, 'makes': 1}
this;47;6;{'such': 21, 'that': 19, 'there': 3, 'its': 2, 'their': 1, 'own': 1}
economy;46;3;{'economics': 25, 'economic': 19, 'Economy': 2}
amount;44;9;{'number': 27, 'quantity': 9, 'numbers': 2, 'figures': 1, 'statistic': 1, 'points': 1, 'among': 1, 'lake': 1, 'volume': 1}
large;44;4;{'big': 39, 'high': 3, 'dramatic': 1, 'grate': 1}
is;44;17;{'has': 12, 'have': 7, 'takes': 4, 'makes': 3, 'of': 3, 'a': 3, 'involves': 2, 'arises': 1, 'fall': 1, 'means': 1, 'seems': 1, 'remains': 1, 'by': 1, 'account': 1, 'illustrates': 1, 'stays': 1, 'discuss': 1}
elderly;43;4;{'elder': 22, 'old': 14, 'pensioners': 4, 'aged': 3}
whole;42;3;{'all': 26, 'hole': 15, 'other': 1}
when;41;6;{'then': 18, 'where': 16, 'while': 4, 'of': 1, 'if': 1, 'that': 1}
like;41;3;{'as': 36, 'prefer': 3, 'love': 2}
printed;41;1;{'print': 41}
get;40;17;{'take': 11, 'become': 7, 'have': 4, 'be': 3, 'gain': 2, 'became': 2, 'give': 1, 'observe': 1, 'turn': 1, 'see': 1, 'had': 1, 'bit': 1, 'face': 1, 'try': 1, 'use': 1, 'are': 1, 'make': 1}
seen;39;5;{'noticed': 27, 'seem': 7, 'watched': 2, 'observed': 2, 'seems': 1}
women;39;2;{'female': 25, 'females': 14}
level;39;11;{'number': 13, 'amount': 13, 'quantity': 2, 'position': 2, 'percent': 2, 'life': 2, 'high': 1, 'point': 1, 'percentage': 1, 'degree': 1, 'value': 1}
from;39;2;{'since': 37, 'during': 2}
another;39;1;{'other': 39}
work;37;4;{'working': 23, 'job': 12, 'be': 1, 'production': 1}
too;37;3;{'to': 33, 'so': 2, 'also': 2}
doing;36;3;{'do': 27, 'making': 7, 'for': 2}
think;36;4;{'suppose': 24, 'consider': 10, 'come': 1, 'dream': 1}
they;36;4;{'he': 29, 'you': 5, 'if': 1, 'temperatures': 1}
raise;35;4;{'rise': 31, 'grow': 2, 'improve': 1, 'force': 1}
lowest;35;4;{'least': 25, 'smallest': 8, 'minimized': 1, 'bottom': 1}
outweigh;35;2;{'overweight': 34, 'overcome': 1}
no;34;1;{'not': 34}
life;34;6;{'live': 22, 'living': 8, 'time': 1, 'timetable': 1, 'layer': 1, 'lifetime': 1}
so;34;5;{'thus': 13, 'such': 9, 'that': 8, 'too': 3, 'quiet': 1}
decrease;34;7;{'decreasing': 22, 'fall': 3, 'increase': 3, 'decline': 2, 'reduce': 2, 'dropping': 1, 'falling': 1}
lower;33;5;{'less': 22, 'smaller': 7, 'fewer': 2, 'prevent': 1, 'decline': 1}
note;32;4;{'notice': 27, 'admit': 3, 'spot': 1, 'tell': 1}
obvious;32;3;{'obviously': 20, 'evident': 11, 'vivid': 1}
small;32;3;{'little': 29, 'low': 2, 'short': 1}
It;30;2;{'That': 16, 'This': 14}
children;29;2;{'kids': 27, 'kinder': 2}
different;28;11;{'various': 10, 'another': 4, 'other': 3, 'else': 2, 'difficult': 2, 'distinctive': 2, 'opposite': 1, 'series': 1, 'distinct': 1, 'others': 1, 'particular': 1}
where;28;4;{'when': 12, 'there': 11, 'that': 4, 'very': 1}
Germany;28;1;{'German': 28}
rise;28;3;{'raise': 26, 'increase': 1, 'climb': 1}
However;28;1;{'Although': 28}
technologies;28;2;{'technology': 27, 'Technology': 1}
achieve;27;4;{'reach': 24, 'get': 1, 'express': 1, 'invent': 1}
does;27;3;{'is': 22, 'makes': 3, 'would': 2}
growth;27;4;{'grow': 24, 'spreading': 1, 'promotion': 1, 'rising': 1}
healthy;27;1;{'health': 27}
greater;27;1;{'bigger': 27}
numbers;27;9;{'amount': 17, 'quantities': 3, 'index': 1, 'points': 1, 'amounts': 1, 'measure': 1, 'variable': 1, 'dates': 1, 'persons': 1}
various;26;3;{'different': 22, 'several': 3, 'own': 1}
was;26;7;{'had': 17, 'became': 2, 'stayed': 2, 'consist': 2, 'started': 1, 'with': 1, 'made': 1}
increase;26;10;{'rise': 7, 'grow': 5, 'raise': 3, 'improve': 3, 'growth': 2, 'climb': 2, 'high': 1, 'incline': 1, 'crease': 1, 'attract': 1}
world;26;4;{'word': 22, 'words': 2, 'globe': 1, 'state': 1}
quite;25;2;{'quiet': 24, 'rather': 1}
had;25;10;{'was': 11, 'were': 4, 'is': 3, 'kept': 1, 'compare': 1, 'as': 1, 'counted': 1, 'are': 1, 'contained': 1, 'illustrated': 1}
all;24;3;{'any': 9, 'whole': 9, 'every': 6}
because;23;3;{'cause': 19, 'as': 3, 'so': 1}
means;23;7;{'way': 12, 'ways': 5, 'meanings': 2, 'tools': 1, 'says': 1, 'remedy': 1, 'reminds': 1}
did;23;3;{'made': 11, 'had': 10, 'took': 2}
cause;23;6;{'make': 14, 'reason': 5, 'subsequence': 1, 'be': 1, 'deliver': 1, 'option': 1}
important;23;9;{'significant': 13, 'essential': 2, 'appropriate': 2, 'obvious': 1, 'prominent': 1, 'main': 1, 'actual': 1, 'big': 1, 'matter': 1}
rose;22;1;{'raised': 22}
low;21;5;{'small': 7, 'law': 6, 'less': 3, 'little': 3, 'tiny': 2}
more;21;5;{'much': 7, 'higher': 6, 'bigger': 5, 'over': 2, 'better': 1}
reduce;21;9;{'decline': 7, 'decrease': 7, 'lessen': 1, 'narrow': 1, 'make': 1, 'cut': 1, 'solve': 1, 'improve': 1, 'increase': 1}
be;21;7;{'have': 7, 'get': 4, 'do': 4, 'make': 3, 'give': 1, 'talk': 1, 'feel': 1}
smaller;21;4;{'less': 14, 'lower': 4, 'fewer': 2, 'shorter': 1}
every;21;3;{'each': 19, 'ever': 1, 'everything': 1}
affect;21;5;{'effect': 12, 'influence': 4, 'decrease': 3, 'deteriorate': 1, 'deter': 1}
while;20;2;{'when': 18, 'where': 2}
throughout;20;3;{'through': 15, 'in': 3, 'throw': 2}
some;20;7;{'someone': 6, 'same': 5, 'something': 4, 'special': 2, 'sound': 1, 'one': 1, 'various': 1}
can;19;2;{'may': 18, 'have': 1}
spent;19;5;{'of': 13, 'had': 3, 'by': 1, 'sport': 1, 'for': 1}
product;19;1;{'good': 19}
job;18;2;{'work': 17, 'occupation': 1}
should;18;2;{'must': 16, 'are': 2}
use;18;6;{'usage': 11, 'enter': 3, 'sell': 1, 'expansion': 1, 'influence': 1, 'drink': 1}
Secondly;18;2;{'Secondary': 11, 'Second': 7}
using;18;6;{'use': 13, 'consumed': 1, 'gaming': 1, 'telling': 1, 'consuming': 1, 'by': 1}
over;17;4;{'during': 9, 'other': 4, 'more': 3, 'cross': 1}
what;17;2;{'that': 9, 'which': 8}
reasons;17;5;{'causes': 10, 'points': 4, 'explanation': 1, 'goals': 1, 'ideas': 1}
problems;16;5;{'troubles': 12, 'diseases': 1, 'futures': 1, 'illnesses': 1, 'obstacles': 1}
reached;16;10;{'achieved': 5, 'gained': 2, 'became': 2, 'leveled': 1, 'had': 1, 'took': 1, 'formed': 1, 'takes': 1, 'researched': 1, 'hit': 1}
become;16;4;{'be': 8, 'get': 6, 'being': 1, 'gain': 1}
noted;16;3;{'noticed': 14, 'fixated': 1, 'fixed': 1}
network;16;2;{'net': 15, 'site': 1}
health;16;4;{'healthy': 13, 'body': 1, 'feelings': 1, 'organism': 1}
commit;16;2;{'make': 11, 'do': 5}
countries;16;7;{'states': 7, 'ones': 3, 'places': 2, 'nationalities': 1, 'capital': 1, 'children': 1, 'continents': 1}
highest;15;4;{'biggest': 8, 'most': 5, 'greatest': 1, 'largest': 1}
unemployed;15;1;{'unemployment': 15}
necessary;15;7;{'needed': 9, 'crucial': 1, 'appropriate': 1, 'different': 1, 'obligatory': 1, 'enough': 1, 'obvious': 1}
see;15;8;{'find': 4, 'admit': 4, 'say': 2, 'watch': 1, 'face': 1, 'observe': 1, 'conduct': 1, 'makes': 1}
percent;15;6;{'percentage': 5, 'percentages': 3, 'number': 3, 'point': 2, 'recent': 1, 'points': 1}
big;15;5;{'large': 8, 'high': 3, 'loud': 2, 'whole': 1, 'more': 1}
but;15;3;{'however': 12, 'than': 2, 'while': 1}
smallest;15;3;{'least': 13, 'lest': 1, 'lowest': 1}
increased;14;7;{'raised': 7, 'rocketed': 2, 'growing': 1, 'soared': 1, 'developed': 1, 'extend': 1, 'grow': 1}
themselves;14;2;{'yourself': 9, 'itself': 5}
great;14;3;{'big': 8, 'high': 3, 'large': 3}
provide;14;8;{'give': 5, 'get': 2, 'refuse': 2, 'open': 1, 'improve': 1, 'bring': 1, 'earn': 1, 'have': 1}
create;14;4;{'make': 10, 'bring': 2, 'do': 1, 'cause': 1}
field;14;2;{'sphere': 13, 'destination': 1}
produce;14;6;{'product': 7, 'make': 2, 'purchase': 2, 'products': 1, 'cover': 1, 'explode': 1}
loss;14;3;{'lost': 7, 'lose': 6, 'pity': 1}
everything;13;2;{'all': 12, 'simple': 1}
decreased;13;6;{'reduced': 8, 'considered': 1, 'collapsed': 1, 'millions': 1, 'turn': 1, 'declined': 1}
any;13;3;{'some': 11, 'whatever': 1, 'various': 1}
solve;13;6;{'decide': 8, 'help': 1, 'reduce': 1, 'decrease': 1, 'cope': 1, 'sold': 1}
go;13;5;{'come': 6, 'do': 4, 'stay': 1, 'run': 1, 'fall': 1}
whereas;13;2;{'when': 9, 'where': 4}
slight;13;4;{'little': 10, 'sharp': 1, 'soft': 1, 'light': 1}
opportunity;13;3;{'possibility': 8, 'ability': 4, 'chance': 1}
opportunities;13;4;{'possibilities': 10, 'possibility': 1, 'capabilities': 1, 'places': 1}
developing;13;2;{'poorer': 12, 'undeveloped': 1}
say;12;3;{'tell': 10, 'think': 1, 'mention': 1}
bigger;12;4;{'more': 9, 'huge': 1, 'longer': 1, 'larger': 1}
of;12;3;{'a': 7, 'over': 4, 'including': 1}
figure;12;9;{'number': 3, 'quantity': 2, 'amount': 1, 'level': 1, 'example': 1, 'table': 1, 'data': 1, 'index': 1, 'statistic': 1}
There;12;1;{'It': 12}
gender;12;5;{'sex': 7, 'sexes': 2, 'category': 1, 'ages': 1, 'population': 1}
take;12;7;{'make': 4, 'drink': 2, 'have': 2, 'go': 1, 'share': 1, 'get': 1, 'move': 1}
largest;12;3;{'biggest': 5, 'most': 5, 'highest': 2}
data;12;3;{'date': 9, 'marks': 2, 'dates': 1}
employees;12;3;{'employers': 7, 'workers': 3, 'personal': 2}
an;12;1;{'and': 12}
talk;12;3;{'say': 9, 'tell': 2, 'discuss': 1}
showed;12;7;{'experienced': 5, 'was': 2, 'started': 1, 'followed': 1, 'see': 1, 'had': 1, 'saw': 1}
effect;12;1;{'affect': 12}
improve;12;8;{'better': 3, 'develop': 2, 'rise': 2, 'boost': 1, 'increase': 1, 'grow': 1, 'get': 1, 'improvement': 1}
two;12;2;{'to': 8, 'different': 4}
reach;12;5;{'rich': 4, 'get': 4, 'have': 2, 'make': 1, 'come': 1}
mode;12;1;{'way': 12}
export;11;1;{'import': 11}
indices;11;1;{'indexes': 11}
rich;11;1;{'reach': 11}
developed;11;4;{'developing': 8, 'increased': 1, 'sustained': 1, 'great': 1}
average;11;6;{'middle': 5, 'medium': 2, 'median': 1, 'total': 1, 'warm': 1, 'common': 1}
ordinary;11;2;{'simple': 6, 'common': 5}
high;11;4;{'big': 7, 'expensive': 2, 'many': 1, 'enormous': 1}
transport;11;7;{'transportation': 4, 'travels': 2, 'commuting': 1, 'travelling': 1, 'replace': 1, 'move': 1, 'take': 1}
biggest;11;4;{'most': 6, 'highest': 3, 'main': 1, 'best': 1}
learn;11;1;{'know': 11}
environment;11;4;{'nature': 8, 'climate': 1, 'perspective': 1, 'ecology': 1}
reason;11;4;{'cause': 7, 'factor': 2, 'idea': 1, 'difference': 1}
figures;11;10;{'graphs': 2, 'meanings': 1, 'amount': 1, 'data': 1, 'ratios': 1, 'charts': 1, 'numbers': 1, 'trend': 1, 'features': 1, 'indexes': 1}
show;11;7;{'have': 4, 'saw': 2, 'describe': 1, 'says': 1, 'stays': 1, 'share': 1, 'see': 1}
afford;11;1;{'allow': 11}
little;10;4;{'few': 4, 'small': 3, 'bit': 2, 'low': 1}
lead;10;6;{'prevent': 3, 'bring': 2, 'leave': 2, 'provide': 1, 'result': 1, 'cause': 1}
aged;10;5;{'of': 4, 'in': 3, 'by': 1, 'old': 1, 'among': 1}
might;10;1;{'may': 10}
through;10;2;{'though': 7, 'in': 3}
transportation;10;5;{'transport': 5, 'deliveries': 2, 'carriage': 1, 'distribution': 1, 'rake': 1}
value;10;5;{'meaning': 3, 'number': 2, 'mark': 2, 'figure': 2, 'understand': 1}
percentages;10;4;{'percent': 7, 'trends': 1, 'average': 1, 'values': 1}
larger;10;3;{'more': 4, 'higher': 3, 'bigger': 3}
believe;10;4;{'consider': 7, 'reckon': 1, 'assume': 1, 'hope': 1}
safe;10;3;{'safety': 8, 'possible': 1, 'sedate': 1}
draw;10;3;{'make': 8, 'paint': 1, 'gives': 1}
shows;10;8;{'gives': 3, 'means': 1, 'demonstrates': 1, 'represent': 1, 'illustrates': 1, 'is': 1, 'pictures': 1, 'see': 1}
usage;10;2;{'using': 9, 'spending': 1}
share;10;4;{'number': 6, 'population': 2, 'position': 1, 'exchange': 1}
basis;10;3;{'base': 8, 'school': 1, 'foundation': 1}
waste;10;2;{'waist': 9, 'costs': 1}
rate;10;8;{'amount': 2, 'data': 2, 'raise': 1, 'size': 1, 'number': 1, 'trend': 1, 'scale': 1, 'part': 1}
feel;9;2;{'fell': 8, 'be': 1}
person;9;5;{'man': 5, 'one': 1, 'men': 1, 'human': 1, 'you': 1}
similar;9;5;{'same': 5, 'so': 1, 'like': 1, 'compare': 1, 'Such': 1}
about;9;5;{'around': 5, 'near': 1, 'above': 1, 'slightly': 1, 'almost': 1}
area;9;5;{'sphere': 5, 'climate': 1, 'subject': 1, 'territory': 1, 'industry': 1}
less;9;3;{'fewer': 4, 'lower': 3, 'worse': 2}
give;9;6;{'make': 4, 'get': 1, 'keep': 1, 'provide': 1, 'have': 1, 'provides': 1}
earn;9;2;{'gain': 8, 'output': 1}
part;9;8;{'one': 2, 'role': 1, 'quantity': 1, 'apart': 1, 'population': 1, 'numbers': 1, 'percent': 1, 'amount': 1}
difficult;9;3;{'complicated': 5, 'hard': 3, 'ambiguous': 1}
others;9;1;{'another': 9}
find;9;7;{'take': 3, 'search': 1, 'look': 1, 'bring': 1, 'select': 1, 'seek': 1, 'flight': 1}
live;9;2;{'leave': 8, 'exist': 1}
