;Count;N_variants;variants
extremely;3;3;{'really': 1, 'utterly': 1, 'absolutely': 1}
unite;3;3;{'related': 1, 'merge': 1, 'connect': 1}
avoid;2;2;{'bypass': 1, 'eliminate': 1}
forbid;2;2;{'reduce': 1, 'delete': 1}
implement;2;2;{'create': 1, 'practice': 1}
occupy;2;1;{'have': 2}
definition;2;2;{'perception': 1, 'perceptions': 1}
spoiled;2;2;{'harmed': 1, 'failed': 1}
ratio;2;1;{'ration': 2}
disadvantages;2;2;{'backwards': 1, 'cons': 1}
effort;2;2;{'power': 1, 'strength': 1}
reckless;2;1;{'haphazard': 2}
exported;2;1;{'imported': 2}
carries;2;1;{'takes': 2}
improved;2;2;{'proven': 1, 'advanced': 1}
serve;2;1;{'have': 2}
role;2;2;{'play': 1, 'function': 1}
duration;2;1;{'length': 2}
able;2;1;{'capable': 2}
Swedish;2;1;{'Swiss': 2}
steal;2;2;{'theft': 1, 'bring': 1}
equipment;2;2;{'technology': 1, 'skills': 1}
disabled;2;2;{'injure': 1, 'invalid': 1}
versus;2;1;{'against': 2}
carriers;2;1;{'carries': 2}
lost;2;2;{'loosed': 1, 'losing': 1}
suitable;2;2;{'worthy': 1, 'fitted': 1}
located;2;1;{'situated': 2}
requirements;2;1;{'conditions': 2}
unlike;2;2;{'that': 1, 'from': 1}
equaled;2;2;{'accounted': 1, 'counted': 1}
persecute;2;2;{'punish': 1, 'follow': 1}
actual;2;2;{'right': 1, 'available': 1}
potential;2;2;{'probable': 1, 'possibilities': 1}
gangs;2;1;{'bands': 2}
efficient;2;2;{'sufficient': 1, 'profound': 1}
explore;2;2;{'study': 1, 'meet': 1}
population;2;1;{'people': 2}
application;2;2;{'interface': 1, 'audience': 1}
hard;2;2;{'uneasy': 1, 'heavy': 1}
sides;2;2;{'parts': 1, 'points': 1}
practically;2;2;{'particularly': 1, 'almost': 1}
encourage;2;2;{'around': 1, 'ensure': 1}
carefully;2;2;{'better': 1, 'thoroughly': 1}
pollute;2;2;{'waste': 1, 'contribute': 1}
transfer;2;2;{'remove': 1, 'graduate': 1}
applied;2;2;{'deployed': 1, 'appropriate': 1}
Women;2;1;{'Females': 2}
known;2;2;{'held': 1, 'considered': 1}
forced;2;1;{'made': 2}
clearly;2;2;{'easily': 1, 'well': 1}
drop;2;2;{'degradation': 1, 'plummet': 1}
vehicles;2;1;{'transport': 2}
knowledge;2;2;{'mind': 1, 'acknowledgement': 1}
surf;2;2;{'search': 1, 'see': 1}
million;2;1;{'billions': 2}
banned;2;1;{'closed': 2}
possibilities;2;2;{'variants': 1, 'ability': 1}
accessing;2;2;{'spending': 1, 'using': 1}
leave;2;2;{'stayed': 1, 'stay': 1}
describe;2;2;{'consider': 1, 'give': 1}
under;2;1;{'in': 2}
improving;2;1;{'repairing': 2}
absence;2;2;{'gap': 1, 'absent': 1}
aim;2;2;{'demand': 1, 'wish': 1}
separate;2;1;{'divide': 2}
trade;2;2;{'make': 1, 'business': 1}
unfair;2;2;{'guilty': 1, 'untrue': 1}
active;2;2;{'fast': 1, 'acting': 1}
somebody;2;1;{'you': 2}
global;2;2;{'world': 1, 'worlds': 1}
stopped;2;2;{'cancelled': 1, 'finished': 1}
vacancies;2;2;{'offers': 1, 'vocations': 1}
saying;2;1;{'telling': 2}
include;2;2;{'use': 1, 'involve': 1}
proper;2;1;{'right': 2}
worry;2;1;{'carry': 2}
adapted;2;1;{'adopted': 2}
severely;2;2;{'hardly': 1, 'strong': 1}
emit;2;2;{'threw': 1, 'exhaust': 1}
Somebody;2;1;{'Some': 2}
type;2;2;{'article': 1, 'tip': 1}
fields;2;2;{'kinds': 1, 'directions': 1}
limit;2;2;{'shorten': 1, 'reduce': 1}
partially;2;2;{'particularly': 1, 'particular': 1}
qualifications;2;1;{'professionals': 2}
closely;2;2;{'precisely': 1, 'tightly': 1}
individual;2;2;{'relational': 1, 'wish': 1}
occurs;2;2;{'is': 1, 'happens': 1}
promotion;2;2;{'commercial': 1, 'feedback': 1}
communicating;2;1;{'connecting': 2}
businesses;2;2;{'tows': 1, 'brands': 1}
calls;2;2;{'phones': 1, 'states': 1}
cope;2;2;{'deal': 1, 'manage': 1}
unpleasant;2;1;{'bad': 2}
conclusion;2;2;{'decision': 1, 'conduction': 1}
new;2;2;{'a': 1, 'young': 1}
portion;2;2;{'type': 1, 'amount': 1}
answer;2;2;{'question': 1, 'decide': 1}
fells;2;1;{'bring': 2}
influenced;2;1;{'caused': 2}
prediction;2;1;{'predicting': 2}
hits;2;1;{'heats': 2}
related;2;2;{'close': 1, 'connected': 1}
comparing;2;2;{'according': 1, 'like': 1}
regarding;2;1;{'considering': 2}
constant;2;2;{'static': 1, 'still': 1}
gain;2;2;{'take': 1, 'get': 1}
considers;2;2;{'tells': 1, 'is': 1}
fast;2;2;{'quick': 1, 'big': 1}
format;2;1;{'version': 2}
suggestion;2;2;{'extend': 1, 'willing': 1}
yourself;2;1;{'you': 2}
trains;2;2;{'tracks': 1, 'fans': 1}
negative;2;2;{'unsatisfied': 1, 'wrong': 1}
appear;2;2;{'be': 1, 'occur': 1}
replaced;2;2;{'substituted': 1, 'exchanged': 1}
capabilities;2;2;{'possibilities': 1, 'opportunities': 1}
online;2;2;{'Internet': 1, 'internet': 1}
parts;2;2;{'ends': 1, 'conditions': 1}
creating;2;1;{'making': 2}
modern;2;2;{'developed': 1, 'today': 1}
behaviour;2;2;{'actions': 1, 'prime': 1}
sales;2;1;{'sellers': 2}
positive;2;2;{'good': 1, 'healthful': 1}
consumers;2;2;{'people': 1, 'users': 1}
prosperity;2;2;{'affluence': 1, 'flourish': 1}
passengers;2;1;{'people': 2}
having;2;2;{'working': 1, 'giving': 1}
good;2;2;{'healthy': 1, 'pleasant': 1}
They;2;2;{'These': 1, 'these': 1}
brings;2;1;{'gives': 2}
demonstrate;2;1;{'show': 2}
declined;2;2;{'drown': 1, 'reduced': 1}
habits;2;2;{'changes': 1, 'habitats': 1}
downloaded;2;1;{'download': 2}
decreases;2;2;{'falls': 1, 'achieves': 1}
drugs;2;1;{'doping': 2}
question;2;2;{'choice': 1, 'contradict': 1}
younger;2;2;{'previous': 1, 'before': 1}
fail;2;2;{'lose': 1, 'neglect': 1}
activities;2;2;{'time': 1, 'exercises': 1}
regarded;2;2;{'viewed': 1, 'claimed': 1}
though;2;1;{'through': 2}
via;2;1;{'in': 2}
observation;2;2;{'discussion': 1, 'chart': 1}
property;2;2;{'ownership': 1, 'privacy': 1}
university;2;1;{'study': 2}
crime;2;1;{'criminality': 2}
allows;2;2;{'lets': 1, 'let': 1}
happen;2;2;{'become': 1, 'be': 1}
protected;2;1;{'prevented': 2}
connected;2;2;{'linking': 1, 'linked': 1}
remains;2;1;{'stays': 2}
Here;2;1;{'There': 2}
seems;2;1;{'appears': 2}
prohibit;2;1;{'ban': 2}
registered;2;2;{'considered': 1, 'noticeable': 1}
rating;2;2;{'rang': 1, 'sphere': 1}
if;2;2;{'where': 1, 'do': 1}
spheres;2;2;{'sites': 1, 'causes': 1}
shorter;2;1;{'smaller': 2}
today;2;1;{'now': 2}
help;2;2;{'conduct': 1, 'know': 1}
debates;2;1;{'arguments': 2}
fuel;2;2;{'oil': 1, 'engine': 1}
exceed;2;2;{'overcome': 1, 'overcame': 1}
category;2;2;{'calling': 1, 'people': 1}
remained;2;2;{'consist': 1, 'maintained': 1}
science;2;1;{'sciences': 2}
moving;2;2;{'money': 1, 'scratch': 1}
around;2;2;{'under': 1, 'changed': 1}
define;2;2;{'deliver': 1, 'frame': 1}
worldwide;2;1;{'world': 2}
check;2;2;{'watch': 1, 'see': 1}
try;2;2;{'tend': 1, 'taste': 1}
choose;2;2;{'prefer': 1, 'make': 1}
living;2;1;{'leaving': 2}
points;2;2;{'fact': 1, 'measures': 1}
changes;2;2;{'development': 1, 'varies': 1}
exports;2;1;{'imports': 2}
causes;2;2;{'sources': 1, 'reasons': 1}
problem;2;2;{'question': 1, 'complication': 1}
whom;2;1;{'who': 2}
agree;2;2;{'convinced': 1, 'accept': 1}
revenues;2;1;{'benefit': 2}
times;2;2;{'size': 1, 'periods': 1}
available;2;2;{'held': 1, 'able': 1}
genders;2;1;{'male': 2}
illustrates;2;2;{'works': 1, 'adds': 1}
underwent;2;1;{'was': 2}
went;2;2;{'grow': 1, 'roses': 1}
here;2;1;{'there': 2}
reveal;2;2;{'discover': 1, 'depict': 1}
entry;2;1;{'enter': 2}
increases;2;2;{'growths': 1, 'rockets': 1}
successful;2;2;{'great': 1, 'fortunate': 1}
opinions;2;2;{'people': 1, 'sides': 1}
matters;2;1;{'thing': 2}
you;2;2;{'yourself': 1, 'him': 1}
really;2;2;{'totally': 1, 'fully': 1}
demonstrates;2;2;{'experience': 1, 'has': 1}
residents;2;1;{'natives': 2}
production;2;2;{'market': 1, 'output': 1}
travel;2;2;{'journey': 1, 'overcome': 1}
harsh;2;1;{'hard': 2}
got;2;2;{'lifts': 1, 'kept': 1}
drawback;2;1;{'minus': 2}
planes;2;2;{'crafts': 1, 'plant': 1}
changed;2;2;{'were': 1, 'differed': 1}
minutes;2;1;{'time': 2}
attitude;2;2;{'relationship': 1, 'position': 1}
during;2;1;{'while': 2}
returning;2;1;{'return': 2}
counted;2;1;{'consisted': 2}
constructing;2;1;{'producing': 2}
becoming;2;1;{'entering': 2}
becomes;2;2;{'is': 1, 'goes': 1}
development;2;2;{'update': 1, 'evolution': 1}
our;2;1;{'own': 2}
chance;2;1;{'change': 2}
wider;2;1;{'bigger': 2}
dairy;2;1;{'milk': 2}
ruin;2;1;{'collapse': 2}
weight;2;2;{'fat': 1, 'obesity': 1}
pattern;2;2;{'map': 1, 'slope': 1}
admit;2;2;{'take': 1, 'give': 1}
specifically;2;1;{'exactly': 2}
helps;2;1;{'support': 2}
prosecuted;2;2;{'pursued': 1, 'pressed': 1}
never;2;1;{'not': 2}
treatment;2;2;{'medicine': 1, 'insurance': 1}
injuries;2;2;{'damaging': 1, 'traumas': 1}
taxes;2;2;{'rate': 1, 'bills': 1}
used;2;2;{'needed': 1, 'developed': 1}
guarantee;2;2;{'confidence': 1, 'evidences': 1}
harm;2;2;{'suffer': 1, 'destroy': 1}
appearance;2;2;{'look': 1, 'view': 1}
shortage;2;2;{'shortcoming': 1, 'lack': 1}
shortest;2;2;{'smallest': 1, 'least': 1}
realize;2;1;{'realise': 2}
starts;2;2;{'begin': 1, 'begins': 1}
bad;2;2;{'low': 1, 'weak': 1}
entire;2;2;{'all': 1, 'common': 1}
remember;2;2;{'consider': 1, 'remind': 1}
recorded;2;1;{'fixed': 2}
express;2;2;{'provide': 1, 'show': 1}
Consequently;2;1;{'Accordingly': 2}
twice;2;1;{'double': 2}
falling;2;1;{'drop': 2}
seem;2;2;{'tend': 1, 'is': 1}
factors;2;2;{'facts': 1, 'reasons': 1}
tend;2;2;{'direct': 1, 'prone': 1}
atmosphere;2;2;{'vibe': 1, 'condition': 1}
approach;2;2;{'idea': 1, 'thing': 1}
enjoy;2;2;{'have': 1, 'love': 1}
volume;2;2;{'amount': 1, 'process': 1}
general;2;1;{'common': 2}
time;2;2;{'hours': 1, 'strength': 1}
As;2;1;{'Like': 2}
measures;2;2;{'points': 1, 'actions': 1}
freely;2;1;{'free': 2}
arise;2;1;{'appear': 2}
helpful;2;2;{'appropriate': 1, 'nice': 1}
involved;2;2;{'busy': 1, 'included': 1}
games;2;1;{'plays': 2}
unimportant;2;1;{'empty': 2}
recall;2;2;{'remind': 1, 'forget': 1}
quickly;2;1;{'fast': 2}
types;2;2;{'points': 1, 'stages': 1}
singular;1;1;{'one': 1}
moved;1;1;{'replaced': 1}
resolve;1;1;{'solve': 1}
acquainted;1;1;{'known': 1}
meaningless;1;1;{'stupid': 1}
prohibits;1;1;{'punishes': 1}
personality;1;1;{'person': 1}
admissions;1;1;{'attendance': 1}
reminder;1;1;{'note': 1}
attempt;1;1;{'trying': 1}
urgent;1;1;{'tackling': 1}
attentive;1;1;{'detailed': 1}
concept;1;1;{'extent': 1}
skill;1;1;{'work': 1}
conducting;1;1;{'leading': 1}
hack;1;1;{'break': 1}
declining;1;1;{'getting': 1}
wise;1;1;{'comfortable': 1}
overlooked;1;1;{'admitted': 1}
demolish;1;1;{'deteriorate': 1}
vacations;1;1;{'vacancies': 1}
principle;1;1;{'principal': 1}
calm;1;1;{'claim': 1}
quit;1;1;{'left': 1}
favourable;1;1;{'corresponding': 1}
ensure;1;1;{'prove': 1}
cleaner;1;1;{'clearer': 1}
teacher;1;1;{'tutor': 1}
highlights;1;1;{'reflects': 1}
stereotype;1;1;{'predictable': 1}
garbage;1;1;{'junk': 1}
vast;1;1;{'fast': 1}
e.g.;1;1;{'etc': 1}
vehicle;1;1;{'machine': 1}
unproductive;1;1;{'ineffective': 1}
event;1;1;{'evidence': 1}
spot;1;1;{'stroke': 1}
earth;1;1;{'ground': 1}
ubiquitous;1;1;{'overall': 1}
broader;1;1;{'rather': 1}
classmates;1;1;{'pupils': 1}
bet;1;1;{'vote': 1}
valid;1;1;{'open': 1}
hold;1;1;{'keep': 1}
scheme;1;1;{'shape': 1}
failure;1;1;{'hit': 1}
nothing;1;1;{'nowhere': 1}
coverage;1;1;{'span': 1}
inborn;1;1;{'intake': 1}
putting;1;1;{'placing': 1}
visits;1;1;{'visitors': 1}
substantially;1;1;{'ultimately': 1}
computer;1;1;{'desktop': 1}
ask;1;1;{'answer': 1}
identical;1;1;{'common': 1}
bottom;1;1;{'lowest': 1}
mother;1;1;{'maternal': 1}
native;1;1;{'natural': 1}
All;1;1;{'Each': 1}
traffic;1;1;{'travelling': 1}
creations;1;1;{'entertainments': 1}
perfect;1;1;{'ideal': 1}
confirm;1;1;{'right': 1}
friend;1;1;{'civilian': 1}
scare;1;1;{'fear': 1}
infinite;1;1;{'endless': 1}
competence;1;1;{'maturity': 1}
formed;1;1;{'was': 1}
records;1;1;{'positions': 1}
representing;1;1;{'of': 1}
lasts;1;1;{'is': 1}
supplements;1;1;{'preparations': 1}
exactly;1;1;{'directly': 1}
partner;1;1;{'couple': 1}
acute;1;1;{'sharp': 1}
dedicate;1;1;{'give': 1}
sections;1;1;{'kinds': 1}
moment;1;1;{'thing': 1}
middle;1;1;{'central': 1}
accidents;1;1;{'incidents': 1}
aspect;1;1;{'reason': 1}
inventors;1;1;{'creators': 1}
May;1;1;{'Might': 1}
smooth;1;1;{'calm': 1}
miss;1;1;{'leave': 1}
flight;1;1;{'travel': 1}
characterized;1;1;{'indicated': 1}
unsuitable;1;1;{'different': 1}
damaged;1;1;{'attracted': 1}
mere;1;1;{'bare': 1}
studios;1;1;{'classes': 1}
blocked;1;1;{'closed': 1}
realized;1;1;{'make': 1}
distracting;1;1;{'divesting': 1}
bear;1;1;{'suffer': 1}
upbringing;1;1;{'nursing': 1}
insomnia;1;1;{'sleepless': 1}
condition;1;1;{'statement': 1}
climates;1;1;{'temperatures': 1}
imposed;1;1;{'created': 1}
Namely;1;1;{'Certainly': 1}
specialization;1;1;{'subject': 1}
traits;1;1;{'treats': 1}
double;1;1;{'twofold': 1}
reckon;1;1;{'regard': 1}
ill;1;1;{'illness': 1}
describing;1;1;{'with': 1}
meeting;1;1;{'including': 1}
levelling;1;1;{'stagnation': 1}
organising;1;1;{'doing': 1}
stagnation;1;1;{'balance': 1}
overcomes;1;1;{'breaks': 1}
recommend;1;1;{'advise': 1}
monitored;1;1;{'governed': 1}
risks;1;1;{'dangers': 1}
longest;1;1;{'largest': 1}
ideal;1;1;{'idealistic': 1}
deny;1;1;{'refuse': 1}
Industrial;1;1;{'Industry': 1}
items;1;1;{'things': 1}
integrate;1;1;{'know': 1}
supplies;1;1;{'resources': 1}
supported;1;1;{'put': 1}
excessive;1;1;{'useless': 1}
producer;1;1;{'customer': 1}
restore;1;1;{'return': 1}
damaging;1;1;{'determination': 1}
final;1;1;{'total': 1}
refuses;1;1;{'denies': 1}
balanced;1;1;{'correct': 1}
w;1;1;{'units': 1}
key;1;1;{'big': 1}
territories;1;1;{'countries': 1}
constructions;1;1;{'structures': 1}
soil;1;1;{'ground': 1}
sorted;1;1;{'separated': 1}
relocation;1;1;{'commuting': 1}
wavy;1;1;{'vulnerable': 1}
escape;1;1;{'chase': 1}
reasoned;1;1;{'clear': 1}
affinity;1;1;{'trend': 1}
topical;1;1;{'actual': 1}
turnover;1;1;{'amount': 1}
weakens;1;1;{'break': 1}
husbands;1;1;{'men': 1}
perish;1;1;{'spoil': 1}
trusted;1;1;{'approved': 1}
shaped;1;1;{'made': 1}
protective;1;1;{'defiance': 1}
impede;1;1;{'block': 1}
composed;1;1;{'consist': 1}
switching;1;1;{'moving': 1}
prize;1;1;{'price': 1}
couple;1;1;{'pair': 1}
artwork;1;1;{'creativity': 1}
assumed;1;1;{'suggested': 1}
disrupted;1;1;{'violated': 1}
infamous;1;1;{'famous': 1}
forming;1;1;{'being': 1}
accelerates;1;1;{'engines': 1}
basics;1;1;{'basis': 1}
overly;1;1;{'too': 1}
uniform;1;1;{'equal': 1}
bunch;1;1;{'bond': 1}
motion;1;1;{'point': 1}
allotted;1;1;{'squandered': 1}
scrolling;1;1;{'seeing': 1}
surge;1;1;{'jump': 1}
defence;1;1;{'protection': 1}
exceptionally;1;1;{'really': 1}
justly;1;1;{'honest': 1}
suburbs;1;1;{'periphery': 1}
Cathedral;1;1;{'Temple': 1}
superior;1;1;{'prevailing': 1}
releases;1;1;{'trade': 1}
Combining;1;1;{'Selecting': 1}
certificates;1;1;{'card': 1}
execute;1;1;{'kill': 1}
lock;1;1;{'set': 1}
leaps;1;1;{'jumps': 1}
autonomous;1;1;{'regardless': 1}
spikes;1;1;{'jumps': 1}
prioritize;1;1;{'choose': 1}
false;1;1;{'unfair': 1}
combines;1;1;{'exists': 1}
telephones;1;1;{'cells': 1}
thrive;1;1;{'strive': 1}
operate;1;1;{'hold': 1}
nurture;1;1;{'mature': 1}
swapped;1;1;{'exchanged': 1}
Very;1;1;{'Too': 1}
suppresses;1;1;{'take': 1}
locate;1;1;{'establish': 1}
applies;1;1;{'is': 1}
affiliated;1;1;{'daughter': 1}
thereafter;1;1;{'then': 1}
gymnastics;1;1;{'gymnastic': 1}
violation;1;1;{'breakers': 1}
alleviated;1;1;{'improved': 1}
joint;1;1;{'joining': 1}
transformed;1;1;{'disposed': 1}
legs;1;1;{'feet': 1}
popularizing;1;1;{'populating': 1}
respective;1;1;{'same': 1}
ride;1;1;{'road': 1}
bands;1;1;{'group': 1}
Following;1;1;{'In': 1}
cleared;1;1;{'cleaned': 1}
notify;1;1;{'note': 1}
dvd;1;1;{'film': 1}
capacity;1;1;{'fertility': 1}
listed;1;1;{'given': 1}
restoration;1;1;{'redecoration': 1}
launch;1;1;{'start': 1}
cites;1;1;{'claims': 1}
loud;1;1;{'high': 1}
obscure;1;1;{'absent': 1}
breach;1;1;{'reduce': 1}
dissemination;1;1;{'sharing': 1}
respond;1;1;{'relates': 1}
carefree;1;1;{'care': 1}
tagged;1;1;{'titled': 1}
outcome;1;1;{'way': 1}
prior;1;1;{'previous': 1}
security;1;1;{'safety': 1}
running;1;1;{'holding': 1}
vested;1;1;{'vest': 1}
enroll;1;1;{'enter': 1}
entail;1;1;{'possess': 1}
probable;1;1;{'possible': 1}
essence;1;1;{'addition': 1}
assure;1;1;{'ensure': 1}
cattle;1;1;{'beast': 1}
hideous;1;1;{'wars': 1}
cyclical;1;1;{'cyclic': 1}
cereal;1;1;{'bread': 1}
inspect;1;1;{'moderate': 1}
nuclear;1;1;{'atomic': 1}
realization;1;1;{'translation': 1}
augmentation;1;1;{'widening': 1}
headmasters;1;1;{'chiefs': 1}
encounter;1;1;{'meet': 1}
layout;1;1;{'outlay': 1}
nutrition;1;1;{'food': 1}
kid;1;1;{'young': 1}
minimized;1;1;{'saved': 1}
date;1;1;{'data': 1}
appeals;1;1;{'applies': 1}
entirety;1;1;{'all': 1}
solely;1;1;{'only': 1}
persecuted;1;1;{'punished': 1}
recruitment;1;1;{'employ': 1}
gratefully;1;1;{'thankfully': 1}
grasp;1;1;{'explain': 1}
